Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temp ()
0,1673365599322,26.52
1,1673365599322,26.53
2,1673365599322,26.52
3,1673365599322,26.52
4,1673365599322,26.52
5,1673365599322,26.52
6,1673365599322,26.52
7,1673365599322,26.52
8,1673365599322,26.52
9,1673365599322,26.52
10,1673365599322,26.52
11,1673365599322,26.5
12,1673365599322,26.49
13,1673365599322,26.52
14,1673365599322,26.53
15,1673365599322,26.52
16,1673365599322,26.53
17,1673365599322,26.53
18,1673365599322,26.53
19,1673365599322,26.53
20,1673365599322,26.52
21,1673365599322,26.51
22,1673365599322,26.51
23,1673365599322,26.53
24,1673365599322,26.52
25,1673365599322,26.52
26,1673365599322,26.53
27,1673365599322,26.52
28,1673365599322,26.53
29,1673365599322,26.52
30,1673365599322,26.52
31,1673365599322,26.51
32,1673365599322,26.5
33,1673365599322,26.5
34,1673365599332,26.49
35,1673365599332,26.5
36,1673365599332,26.51
37,1673365599332,26.5
38,1673365599332,26.5
39,1673365599332,26.51
40,1673365599332,26.51
41,1673365599332,26.49
42,1673365599332,26.51
43,1673365599332,26.5
44,1673365599332,26.5
45,1673365599332,26.51
46,1673365599332,26.51
47,1673365599332,26.51
48,1673365599332,26.5
49,1673365599332,26.51
50,1673365599332,26.5
51,1673365599332,26.49
52,1673365599332,26.51
53,1673365599332,26.5
54,1673365599332,26.5
55,1673365599332,26.5
56,1673365599332,26.5
57,1673365599332,26.49
58,1673365599332,26.49
59,1673365599332,26.49
60,1673365599332,26.49
61,1673365599332,26.5
62,1673365599332,26.5
63,1673365599332,26.49
64,1673365599332,26.48
65,1673365599332,26.5
66,1673365599332,26.49
67,1673365599332,26.49
68,1673365599332,26.48
69,1673365599332,26.48
70,1673365599332,26.48
71,1673365599332,26.48
72,1673365599332,26.47
73,1673365599332,26.48
74,1673365599332,26.46
75,1673365599332,26.48
76,1673365599332,26.47
77,1673365599332,26.47
78,1673365599332,26.46
79,1673365599332,26.46
80,1673365599332,26.45
81,1673365599332,26.45
82,1673365599332,26.45
83,1673365599332,26.45
84,1673365599332,26.46
85,1673365599332,26.46
86,1673365599332,26.46
87,1673365599332,26.46
88,1673365599332,26.48
89,1673365599332,26.46
90,1673365599342,26.46
91,1673365599342,26.46
92,1673365599342,26.45
93,1673365599342,26.46
94,1673365599342,26.46
95,1673365599342,26.46
96,1673365599404,26.46
97,1673365599568,26.46
98,1673365599733,26.45
99,1673365599897,26.46
100,1673365600060,26.46
101,1673365600225,26.47
102,1673365600389,26.45
103,1673365600552,26.46
104,1673365600717,26.46
105,1673365600881,26.46
106,1673365601044,26.46
107,1673365601209,26.46
108,1673365601372,26.45
109,1673365601537,26.46
110,1673365601700,26.46
111,1673365601864,26.45
112,1673365602029,26.46
113,1673365602192,26.46
114,1673365602357,26.47
115,1673365602521,26.48
116,1673365602684,26.46
117,1673365602848,26.47
118,1673365603013,26.46
119,1673365603177,26.46
120,1673365603340,26.47
121,1673365603505,26.46
122,1673365603669,26.47
123,1673365603832,26.45
124,1673365603997,26.46
125,1673365604160,26.46
126,1673365604324,26.45
127,1673365604489,26.45
128,1673365604652,26.46
129,1673365604817,26.47
130,1673365604980,26.46
131,1673365605145,26.45
132,1673365605309,26.46
133,1673365605472,26.46
134,1673365605637,26.46
135,1673365605801,26.46
136,1673365605965,26.46
137,1673365606128,26.46
138,1673365606292,26.45
139,1673365606456,26.47
140,1673365606621,26.46
141,1673365606784,26.46
142,1673365606949,26.48
143,1673365607113,26.48
144,1673365607276,26.47
145,1673365607441,26.46
146,1673365607605,26.47
147,1673365607769,26.46
148,1673365607933,26.48
149,1673365608097,26.47
150,1673365608260,26.46
151,1673365608424,26.48
152,1673365608589,26.47
153,1673365608753,26.48
154,1673365608916,26.47
155,1673365609081,26.46
156,1673365609244,26.48
157,1673365609408,26.47
158,1673365609573,26.47
159,1673365609736,26.48
160,1673365609900,26.47
161,1673365610065,26.46
162,1673365610229,26.47
163,1673365610393,26.48
164,1673365610556,26.48
165,1673365610721,26.48
166,1673365610884,26.48
167,1673365611049,26.48
168,1673365611212,26.48
169,1673365611376,26.48
170,1673365611541,26.48
171,1673365611705,26.48
172,1673365611869,26.48
173,1673365612032,26.49
174,1673365612196,26.48
175,1673365612360,26.49
176,1673365612524,26.49
177,1673365612689,26.47
178,1673365612853,26.48
179,1673365613017,26.47
180,1673365613181,26.49
181,1673365613345,26.48
182,1673365613509,26.48
183,1673365613673,26.48
184,1673365613836,26.46
185,1673365614000,26.48
186,1673365614164,26.48
187,1673365614329,26.48
188,1673365614493,26.47
189,1673365614656,26.49
190,1673365614821,26.48
191,1673365614985,26.49
192,1673365615148,26.48
193,1673365615313,26.49
194,1673365615476,26.48
195,1673365615640,26.49
196,1673365615804,26.49
197,1673365615969,26.49
198,1673365616133,26.48
199,1673365616297,26.48
200,1673365616461,26.49
201,1673365616625,26.48
202,1673365616789,26.48
203,1673365616953,26.49
204,1673365617116,26.48
205,1673365617281,26.48
206,1673365617444,26.49
207,1673365617608,26.48
208,1673365617773,26.48
209,1673365617936,26.48
210,1673365618100,26.48
211,1673365618265,26.5
212,1673365618428,26.49
213,1673365618593,26.49
214,1673365618756,26.47
215,1673365618921,26.48
216,1673365619084,26.47
217,1673365619249,26.48
218,1673365619413,26.48
219,1673365619577,26.49
220,1673365619740,26.49
221,1673365619905,26.49
222,1673365620069,26.49
223,1673365620233,26.48
224,1673365620397,26.48
225,1673365620561,26.5
226,1673365620725,26.5
227,1673365620888,26.49
228,1673365621053,26.5
229,1673365621217,26.5
230,1673365621380,26.5
231,1673365621544,26.49
232,1673365621709,26.47
233,1673365621872,26.5
234,1673365622037,26.49
235,1673365622200,26.49
236,1673365622365,26.49
237,1673365622528,26.5
238,1673365622692,26.49
239,1673365622857,26.45
240,1673365623021,26.49
