Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperature (),Set Value (),u (),u_sum (),de ()
0,1673969676554,26.56,33.0,26.202,73.648,0.0
1,1673969676554,26.55,33.0,26.294,73.971,0.01
2,1673969676554,26.55,33.0,26.246,74.293,0.0
3,1673969676554,26.57,33.0,26.068,74.615,-0.02
4,1673969676554,26.55,33.0,26.35,74.937,0.02
5,1673969676554,26.56,33.0,26.162,75.259,-0.01
6,1673969676554,26.56,33.0,26.213,75.581,0.0
7,1673969676554,26.55,33.0,26.305,75.904,0.01
8,1673969676554,26.56,33.0,26.167,76.226,-0.01
9,1673969676554,26.56,33.0,26.219,76.548,0.0
10,1673969676554,26.56,33.0,26.221,76.87,0.0
11,1673969676554,26.55,33.0,26.313,77.192,0.01
12,1673969676554,26.56,33.0,26.175,77.514,-0.01
13,1673969676773,26.56,33.0,26.36,100.049,0.0
14,1673969676939,26.57,33.0,26.272,100.371,-0.01
15,1673969677107,26.57,33.0,26.324,100.692,0.0
16,1673969677272,26.57,33.0,26.326,101.014,0.0
17,1673969677438,26.56,33.0,26.418,101.336,0.01
18,1673969677604,26.56,33.0,26.37,101.658,0.0
19,1673969677770,26.57,33.0,26.282,101.979,-0.01
20,1673969677937,26.57,33.0,26.334,102.301,0.0
21,1673969678103,26.56,33.0,26.426,102.623,0.01
22,1673969678269,26.57,33.0,26.288,102.944,-0.01
23,1673969678436,26.56,33.0,26.43,103.266,0.01
24,1673969678602,26.57,33.0,26.292,103.588,-0.01
25,1673969678770,26.57,33.0,26.343,103.909,0.0
26,1673969678935,26.58,33.0,26.255,104.23,-0.01
27,1673969679102,26.57,33.0,26.397,104.552,0.01
28,1673969679268,26.57,33.0,26.349,104.873,0.0
29,1673969679434,26.56,33.0,26.441,105.195,0.01
30,1673969679600,26.56,33.0,26.393,105.517,0.0
31,1673969679766,26.57,33.0,26.305,105.839,-0.01
32,1673969679933,26.57,33.0,26.357,106.16,0.0
33,1673969680099,26.57,33.0,26.359,106.482,0.0
34,1673969680266,26.56,33.0,26.451,106.804,0.01
35,1673969680432,26.57,33.0,26.313,107.125,-0.01
36,1673969680598,26.56,33.0,26.455,107.447,0.01
37,1673969680764,26.57,33.0,26.317,107.769,-0.01
38,1673969680930,26.56,33.0,26.459,108.091,0.01
39,1673969681096,26.56,33.0,26.41,108.413,0.0
40,1673969681262,26.57,33.0,26.322,108.734,-0.01
41,1673969681429,26.57,33.0,26.374,109.056,0.0
42,1673969681595,26.56,33.0,26.466,109.378,0.01
43,1673969681762,26.57,33.0,26.328,109.699,-0.01
44,1673969681928,26.57,33.0,26.38,110.021,0.0
45,1673969682094,26.57,33.0,26.382,110.342,0.0
46,1673969682260,26.56,33.0,26.474,110.664,0.01
47,1673969682428,26.56,33.0,26.426,110.986,0.0
48,1673969682592,26.57,33.0,26.338,111.308,-0.01
49,1673969682760,26.58,33.0,26.3,111.629,-0.01
50,1673969682926,26.57,33.0,26.442,111.95,0.01
51,1673969683094,26.56,33.0,26.484,112.272,0.01
52,1673969683258,26.58,33.0,26.256,112.593,-0.02
53,1673969683425,26.57,33.0,26.447,112.915,0.01
54,1673969683591,26.56,33.0,26.489,113.237,0.01
55,1673969683758,26.57,33.0,26.351,113.558,-0.01
56,1673969683924,26.56,33.0,26.493,113.88,0.01
57,1673969684090,26.57,33.0,26.355,114.202,-0.01
58,1673969684257,26.56,33.0,26.497,114.524,0.01
59,1673969684423,26.57,33.0,26.359,114.845,-0.01
60,1673969684590,26.56,33.0,26.501,115.167,0.01
61,1673969684756,26.57,33.0,26.363,115.489,-0.01
62,1673969684922,26.56,33.0,26.505,115.811,0.01
63,1673969685089,26.56,33.0,26.457,116.133,0.0
64,1673969685254,26.56,33.0,26.459,116.455,0.0
65,1673969685421,26.57,33.0,26.371,116.776,-0.01
